# h2: COVID-19
# h2: Current Situation in Hawaii
# h2: Hawaii COVID-19 Cases
# h2: Hawaii COVID-19 Map
# h2: Hawaii COVID-19 Epi Curve
# h2: Hawaii COVID-19 Confirmed Cases by Age Group
# h2: Hawaii COVID-19 Cumulative Number of Reported Lab Tests
# h2: Hawaii COVID-19 Lab Testing by County
# h2: Hawaii COVID-19 Cases’ Race Compared to State Population
# thead: HAWAII COUNTY
# thead: HONOLULU COUNTY
# thead: KAUAI COUNTY
# thead: MAUI COUNTY
# thead: HI Residents diagnosed outside of HI
# thead: County Pending
|                     case |                 number |
|              Total Cases | 606 (2 newly reported) |
| Released from Isolation† |                    488 |
| Required Hospitalization |                     68 |
|                   Deaths |                     14 |
|              Total Cases | 70 total |
| Released from Isolation† |       49 |
| Required Hospitalization |        1 |
|                   Deaths |        0 |
|              Total Cases | 396 total |
| Released from Isolation† |       346 |
| Required Hospitalization |        53 |
|                   Deaths |         9 |
|              Total Cases | 21 total |
| Released from Isolation† |       19 |
| Required Hospitalization |        1 |
|                   Deaths |        0 |
|              Total Cases | 112 total |
| Released from Isolation† |        74 |
| Required Hospitalization |        13 |
|                   Deaths |         5 |
HI Residents diagnosed outside of HI   7 total
County Pending   0 total
